Parameter,Mean,StdDev,Min,Max,-3σ,+3σ
gamma,0.798902142857208,0.305749287210843,0.223197776286223,2.55037208653733,-0.118345718775322,1.71615000448974
kr,7.24368551668648,0.664980049830403,5.44847757782675,10.692392455424,5.24874536719527,9.23862566617769
tgo,638.886306574303,38.0286103983031,488.658042027129,794.041316910007,524.800475379394,752.972137769212
fuel_opt,6614.40901306724,88.7022824279371,6456.93633796424,7120.7751717789,6348.30216578342,6880.51586035105
fuel_sim,6914.97729391628,113.405632371774,5784.8339284792,7418.38033019152,6574.76039680096,7255.1941910316
coeff1,0.226069036483777,0.0692663456066489,0.0503019753975233,0.593013377321156,0.0182699996638306,0.433868073303724
coeff2,-0.773930963516223,0.0692663456066488,-0.949698024602477,-0.406986622678844,-0.98173000033617,-0.566131926696276
coeff3,-0.00448462814381892,0.000749806107332044,-0.00752580833860925,-0.00232271813633465,-0.00673404646581505,-0.00223520982182278
coeff4,1.79935524451698e-05,3.08452107964056e-06,9.33461110857739e-06,2.92711774515898e-05,8.73998920624811e-06,2.72471156840915e-05
